county,GEOID,NAME,category,table_id,variable,estimate,moe,summary_est,summary_moe,subset_ID,label,concept
Blaine County,30005940100,Census Tract 9401; Blaine County; Montana,IncomePoverty,B06012,B06012_003,349,175,1572,180,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Blaine County,30005940200,Census Tract 9402; Blaine County; Montana,IncomePoverty,B06012,B06012_003,190,114,1518,197,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Broadwater County,30007000100,Census Tract 1; Broadwater County; Montana,IncomePoverty,B06012,B06012_003,162,100,2454,337,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Broadwater County,30007000200,Census Tract 2; Broadwater County; Montana,IncomePoverty,B06012,B06012_003,159,157,4800,338,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carbon County,30009000100,Census Tract 1; Carbon County; Montana,IncomePoverty,B06012,B06012_003,280,155,2800,243,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carbon County,30009000200,Census Tract 2; Carbon County; Montana,IncomePoverty,B06012,B06012_003,226,81,1776,188,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carbon County,30009000300,Census Tract 3; Carbon County; Montana,IncomePoverty,B06012,B06012_003,283,111,2335,85,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carbon County,30009000400,Census Tract 4; Carbon County; Montana,IncomePoverty,B06012,B06012_003,217,154,2351,249,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carbon County,30009000500,Census Tract 5; Carbon County; Montana,IncomePoverty,B06012,B06012_003,104,60,1412,195,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Carter County,30011000300,Census Tract 3; Carter County; Montana,IncomePoverty,B06012,B06012_003,122,61,1338,125,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000100,Census Tract 1; Cascade County; Montana,IncomePoverty,B06012,B06012_003,166,164,2805,414,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000200,Census Tract 2; Cascade County; Montana,IncomePoverty,B06012,B06012_003,289,155,3509,481,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000300,Census Tract 3; Cascade County; Montana,IncomePoverty,B06012,B06012_003,184,82,3547,532,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000400,Census Tract 4; Cascade County; Montana,IncomePoverty,B06012,B06012_003,298,182,2122,338,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000700,Census Tract 7; Cascade County; Montana,IncomePoverty,B06012,B06012_003,305,154,2300,336,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000800,Census Tract 8; Cascade County; Montana,IncomePoverty,B06012,B06012_003,266,106,1549,215,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013000900,Census Tract 9; Cascade County; Montana,IncomePoverty,B06012,B06012_003,307,174,3350,642,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001000,Census Tract 10; Cascade County; Montana,IncomePoverty,B06012,B06012_003,273,212,3202,318,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001100,Census Tract 11; Cascade County; Montana,IncomePoverty,B06012,B06012_003,322,160,4247,456,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001201,Census Tract 12.01; Cascade County; Montana,IncomePoverty,B06012,B06012_003,431,243,1846,277,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001202,Census Tract 12.02; Cascade County; Montana,IncomePoverty,B06012,B06012_003,378,171,1786,268,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001600,Census Tract 16; Cascade County; Montana,IncomePoverty,B06012,B06012_003,437,209,4323,641,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001700,Census Tract 17; Cascade County; Montana,IncomePoverty,B06012,B06012_003,107,103,1907,256,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001800,Census Tract 18; Cascade County; Montana,IncomePoverty,B06012,B06012_003,242,158,3781,483,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013001900,Census Tract 19; Cascade County; Montana,IncomePoverty,B06012,B06012_003,242,259,6170,508,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013002100,Census Tract 21; Cascade County; Montana,IncomePoverty,B06012,B06012_003,746,481,5000,471,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013002201,Census Tract 22.01; Cascade County; Montana,IncomePoverty,B06012,B06012_003,323,275,3259,381,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013002202,Census Tract 22.02; Cascade County; Montana,IncomePoverty,B06012,B06012_003,485,431,3422,577,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013002301,Census Tract 23.01; Cascade County; Montana,IncomePoverty,B06012,B06012_003,132,114,5136,670,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013002302,Census Tract 23.02; Cascade County; Montana,IncomePoverty,B06012,B06012_003,26,39,2661,549,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013010100,Census Tract 101; Cascade County; Montana,IncomePoverty,B06012,B06012_003,438,298,3884,489,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013010400,Census Tract 104; Cascade County; Montana,IncomePoverty,B06012,B06012_003,154,79,1907,302,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013010600,Census Tract 106; Cascade County; Montana,IncomePoverty,B06012,B06012_003,212,84,3773,397,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013010700,Census Tract 107; Cascade County; Montana,IncomePoverty,B06012,B06012_003,154,67,4140,437,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Cascade County,30013010800,Census Tract 108; Cascade County; Montana,IncomePoverty,B06012,B06012_003,222,107,2559,274,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Chouteau County,30015010200,Census Tract 102; Chouteau County; Montana,IncomePoverty,B06012,B06012_003,163,76,2110,205,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Chouteau County,30015010300,Census Tract 103; Chouteau County; Montana,IncomePoverty,B06012,B06012_003,380,148,3719,201,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017961300,Census Tract 9613; Custer County; Montana,IncomePoverty,B06012,B06012_003,88,38,2088,195,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017961500,Census Tract 9615; Custer County; Montana,IncomePoverty,B06012,B06012_003,184,98,1681,236,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017961600,Census Tract 9616; Custer County; Montana,IncomePoverty,B06012,B06012_003,119,78,2235,276,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017961800,Census Tract 9618; Custer County; Montana,IncomePoverty,B06012,B06012_003,250,103,1574,205,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017961900,Census Tract 9619; Custer County; Montana,IncomePoverty,B06012,B06012_003,172,97,1823,199,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Custer County,30017962000,Census Tract 9620; Custer County; Montana,IncomePoverty,B06012,B06012_003,309,185,2113,238,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Daniels County,30019020300,Census Tract 203; Daniels County; Montana,IncomePoverty,B06012,B06012_003,106,61,1489,163,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Dawson County,30021000100,Census Tract 1; Dawson County; Montana,IncomePoverty,B06012,B06012_003,65,30,1488,251,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Dawson County,30021000200,Census Tract 2; Dawson County; Montana,IncomePoverty,B06012,B06012_003,264,232,2686,354,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Dawson County,30021000300,Census Tract 3; Dawson County; Montana,IncomePoverty,B06012,B06012_003,291,239,4301,294,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Deer Lodge County,30023000300,Census Tract 3; Deer Lodge County; Montana,IncomePoverty,B06012,B06012_003,306,158,3095,320,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Deer Lodge County,30023000400,Census Tract 4; Deer Lodge County; Montana,IncomePoverty,B06012,B06012_003,459,273,3510,280,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Deer Lodge County,30023000500,Census Tract 5; Deer Lodge County; Montana,IncomePoverty,B06012,B06012_003,221,155,2481,277,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Fallon County,30025000100,Census Tract 1; Fallon County; Montana,IncomePoverty,B06012,B06012_003,197,76,2753,202,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Fergus County,30027030100,Census Tract 301; Fergus County; Montana,IncomePoverty,B06012,B06012_003,375,142,4788,221,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Fergus County,30027030201,Census Tract 302.01; Fergus County; Montana,IncomePoverty,B06012,B06012_003,322,215,3131,351,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Fergus County,30027030202,Census Tract 302.02; Fergus County; Montana,IncomePoverty,B06012,B06012_003,202,117,3317,347,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000101,Census Tract 1.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,105,45,955,218,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000102,Census Tract 1.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,553,280,2144,395,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000201,Census Tract 2.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,228,128,4759,585,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000202,Census Tract 2.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,164,113,3161,608,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000203,Census Tract 2.03; Flathead County; Montana,IncomePoverty,B06012,B06012_003,605,397,4999,293,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000301,Census Tract 3.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,161,125,3346,491,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000302,Census Tract 3.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,55,43,1858,361,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000402,Census Tract 4.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,155,89,3375,619,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000403,Census Tract 4.03; Flathead County; Montana,IncomePoverty,B06012,B06012_003,36,60,2445,384,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000404,Census Tract 4.04; Flathead County; Montana,IncomePoverty,B06012,B06012_003,248,220,3345,425,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000601,Census Tract 6.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,377,205,5460,475,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000602,Census Tract 6.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,387,157,4185,404,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000700,Census Tract 7; Flathead County; Montana,IncomePoverty,B06012,B06012_003,403,287,6456,631,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000801,Census Tract 8.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,66,66,3457,472,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000802,Census Tract 8.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,370,223,6610,1000,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000901,Census Tract 9.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,208,181,2205,299,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000902,Census Tract 9.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,588,495,2363,531,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029000903,Census Tract 9.03; Flathead County; Montana,IncomePoverty,B06012,B06012_003,376,234,3178,475,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001000,Census Tract 10; Flathead County; Montana,IncomePoverty,B06012,B06012_003,396,164,1963,290,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001101,Census Tract 11.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,497,280,3342,532,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001102,Census Tract 11.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,511,272,3528,444,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001201,Census Tract 12.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,542,405,3296,480,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001202,Census Tract 12.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,251,160,5239,888,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001303,Census Tract 13.03; Flathead County; Montana,IncomePoverty,B06012,B06012_003,255,136,1973,309,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001304,Census Tract 13.04; Flathead County; Montana,IncomePoverty,B06012,B06012_003,27,22,2070,420,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001305,Census Tract 13.05; Flathead County; Montana,IncomePoverty,B06012,B06012_003,236,129,1906,376,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001306,Census Tract 13.06; Flathead County; Montana,IncomePoverty,B06012,B06012_003,462,331,4344,399,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001401,Census Tract 14.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,117,100,2985,667,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001402,Census Tract 14.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,125,96,2984,448,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001701,Census Tract 17.01; Flathead County; Montana,IncomePoverty,B06012,B06012_003,322,159,4963,612,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001702,Census Tract 17.02; Flathead County; Montana,IncomePoverty,B06012,B06012_003,106,107,2155,305,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Flathead County,30029001703,Census Tract 17.03; Flathead County; Montana,IncomePoverty,B06012,B06012_003,256,142,2218,249,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000101,Census Tract 1.01; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,19,33,6844,798,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000104,Census Tract 1.04; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,310,208,4617,738,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000105,Census Tract 1.05; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,196,141,5086,642,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000201,Census Tract 2.01; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,316,306,6389,759,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000202,Census Tract 2.02; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,582,349,5922,626,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000300,Census Tract 3; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,345,183,3884,465,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000400,Census Tract 4; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,457,230,6033,582,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000502,Census Tract 5.02; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,130,90,7667,798,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000504,Census Tract 5.04; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,534,571,3147,573,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000505,Census Tract 5.05; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,328,222,6821,1011,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000506,Census Tract 5.06; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,420,282,7692,1045,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000507,Census Tract 5.07; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,283,249,4071,638,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000600,Census Tract 6; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,225,130,2787,338,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000701,Census Tract 7.01; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,296,112,3898,623,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000703,Census Tract 7.03; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,141,89,1740,188,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000704,Census Tract 7.04; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,300,183,4332,573,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000800,Census Tract 8; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,251,113,2478,365,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031000900,Census Tract 9; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,728,273,4548,541,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001001,Census Tract 10.01; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,32,41,3270,335,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001002,Census Tract 10.02; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,514,235,4977,462,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001101,Census Tract 11.01; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,370,146,2226,351,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001102,Census Tract 11.02; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,537,262,5381,658,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001200,Census Tract 12; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,543,272,4980,464,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001500,Census Tract 15; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,45,40,2107,400,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001600,Census Tract 16; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,110,111,2598,458,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Gallatin County,30031001700,Census Tract 17; Gallatin County; Montana,IncomePoverty,B06012,B06012_003,150,69,4277,402,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
Garfield County,30033000100,Census Tract 1; Garfield County; Montana,IncomePoverty,B06012,B06012_003,93,33,926,113,3,Estimate!!Total:!!100 to 149 percent of the poverty level,Place of Birth by Poverty Status in the Past 12 Months in the United States
